"Store Address",Suburb,Products,Price,Caloire Info
"Cnr Townsend & Hume Streets",Albury,Big Mac,$6.70,2360kJ 
"Cnr Townsend & Hume Streets",Albury,Medium Big Mac Meal,$11.65,2360kJ 
"Cnr Townsend & Hume Streets",Albury,Small Big Mac Meal,$10.85,2360kJ 
"Cnr Townsend & Hume Streets",Albury,Large Big Mac Meal,$12.45,2360kJ 
"Cnr Townsend & Hume Streets",Albury, Latte,$4.20,473kJ 
"Cnr Townsend & Hume Streets",Albury,Medium Latté ,$4.80,687kJ 
"Cnr Townsend & Hume Streets",Albury,Large Latté ,$5.40,745kJ 
"Cnr Townsend & Hume Streets",Albury, Iced Mocha,$4.90,1090kJ 
"Cnr Townsend & Hume Streets",Albury,Medium Iced Mocha ,$5.40,1740kJ 
"Cnr Townsend & Hume Streets",Albury,Large Iced Mocha ,$5.85,2390kJ 
"Cnr Townsend & Hume Streets",Albury,OREO® McFlurry,$4.00,1380kJ 
"Cnr Townsend & Hume Streets",Albury,Sprite®,$3.30,378kJ 
"Cnr Townsend & Hume Streets",Albury,Medium Sprite®,$4.00,541kJ 
"Cnr Townsend & Hume Streets",Albury,Large Sprite®,$4.60,827kJ 
