"Store Address",Suburb,Products,Price,Caloire Info
"131 Marsh Street",Armidale,Big Mac,$6.60,2360kJ 
"131 Marsh Street",Armidale,Medium Big Mac Meal,$11.80,2360kJ 
"131 Marsh Street",Armidale,Small Big Mac Meal,$11.00,2360kJ 
"131 Marsh Street",Armidale,Large Big Mac Meal,$12.60,2360kJ 
"131 Marsh Street",Armidale, Latte,$4.50,473kJ 
"131 Marsh Street",Armidale,Medium Latté ,$4.90,687kJ 
"131 Marsh Street",Armidale,Large Latté ,$5.45,745kJ 
"131 Marsh Street",Armidale, Iced Mocha,$5.35,1090kJ 
"131 Marsh Street",Armidale,Medium Iced Mocha ,$5.85,1740kJ 
"131 Marsh Street",Armidale,Large Iced Mocha ,$6.30,2390kJ 
"131 Marsh Street",Armidale,OREO® McFlurry,$4.00,1380kJ 
"131 Marsh Street",Armidale,Sprite®,$3.20,378kJ 
"131 Marsh Street",Armidale,Medium Sprite®,$3.80,541kJ 
"131 Marsh Street",Armidale,Large Sprite®,$4.45,827kJ 
