"Store Address",Suburb,Products,Price,Caloire Info
"56 Bangalow Road",Ballina,Big Mac,$6.40,2360kJ 
"56 Bangalow Road",Ballina,Medium Big Mac Meal,$11.60,2360kJ 
"56 Bangalow Road",Ballina,Small Big Mac Meal,$10.80,2360kJ 
"56 Bangalow Road",Ballina,Large Big Mac Meal,$12.40,2360kJ 
"56 Bangalow Road",Ballina, Latte,$4.20,473kJ 
"56 Bangalow Road",Ballina,Medium Latté ,$4.70,687kJ 
"56 Bangalow Road",Ballina,Large Latté ,$5.10,745kJ 
"56 Bangalow Road",Ballina, Iced Mocha,$4.60,1090kJ 
"56 Bangalow Road",Ballina,Medium Iced Mocha ,$5.15,1740kJ 
"56 Bangalow Road",Ballina,Large Iced Mocha ,$5.80,2390kJ 
"56 Bangalow Road",Ballina,OREO® McFlurry,$4.00,1380kJ 
"56 Bangalow Road",Ballina,Sprite®,$3.25,378kJ 
"56 Bangalow Road",Ballina,Medium Sprite®,$4.00,541kJ 
"56 Bangalow Road",Ballina,Large Sprite®,$4.50,827kJ 
