"Store Address",Suburb,Products,Price,Caloire Info
"69-71 Durham Street",Bathurst,Big Mac,$6.75,2360kJ 
"69-71 Durham Street",Bathurst,Medium Big Mac Meal,$11.80,2360kJ 
"69-71 Durham Street",Bathurst,Small Big Mac Meal,$11.00,2360kJ 
"69-71 Durham Street",Bathurst,Large Big Mac Meal,$12.60,2360kJ 
"69-71 Durham Street",Bathurst, Latte,$4.15,473kJ 
"69-71 Durham Street",Bathurst,Medium Latté ,$4.70,687kJ 
"69-71 Durham Street",Bathurst,Large Latté ,$5.20,745kJ 
"69-71 Durham Street",Bathurst, Iced Mocha,$4.95,1090kJ 
"69-71 Durham Street",Bathurst,Medium Iced Mocha ,$5.70,1740kJ 
"69-71 Durham Street",Bathurst,Large Iced Mocha ,$6.00,2390kJ 
"69-71 Durham Street",Bathurst,OREO® McFlurry,$4.00,1380kJ 
"69-71 Durham Street",Bathurst,Sprite® Zero Sugar,$3.35,8kJ 
"69-71 Durham Street",Bathurst,Medium Sprite® Zero Sugar,$3.95,12kJ 
"69-71 Durham Street",Bathurst,Large Sprite® Zero Sugar,$4.60,18kJ 
