Products, Price
McCafé - Australiano Chai Coffee , $4.80  857 kJ
Medium Australiano Chai Coffee  McCafé, $5.40  1310 kJ
Large Australiano Chai Coffee  McCafé, $6.05  1720 kJ
McCafé - Iced Australiano Chai Coffee, $5.55  671 kJ
Medium Iced Australiano Chai Coffee McCafé, $6.45  1070 kJ
Large Iced Australiano Chai Coffee McCafé, $6.95  1600 kJ
Chocolate Shake, $4.20  1150 kJ
Medium Chocolate Shake, $4.80  1550 kJ
Medium Chocolate Shake, $4.80  1550 kJ
McCafé - Cappuccino, $4.20  504 kJ
Medium Cappuccino McCafe, $4.80  690 kJ
Large Cappuccino McCafe, $5.45  776 kJ
McCafé - Hot Chocolate, $4.10  1010 kJ
Medium Hot Chocolate McCafé, $4.85  1500 kJ
Large Hot Chocolate McCafé, $5.45  1990 kJ
Big Mac, $7.10  2360 kJ
Medium Big Mac Meal, $11.95  2360 kJ
Small Big Mac Meal, $11.15  2360 kJ
Large Big Mac Meal, $12.75  2360 kJ
McCafé - Iced Chai Latte, $4.20  996 kJ
Medium Iced Chai Latte McCafé, $6.40  1690 kJ
Large Iced Chai Latte McCafé, $6.95  2210 kJ
McCafé - Mocha, $4.55  883 kJ
Medium Mocha McCafe, $5.50  1190 kJ
Large Mocha McCafe, $5.95  1490 kJ
McCafé - Iced Mocha, $3.80  1090 kJ
Medium Iced Mocha McCafé, $5.50  1740 kJ
Large Iced Mocha McCafé, $6.15  2390 kJ
Fries, $2.00  860 kJ
Medium Fries, $3.40  1240 kJ
Large Fries, $3.85  1530 kJ
Large Fries, $1.00  413 kJ
Frozen Coke®, $1.00  578 kJ
Medium Frozen Coke®, $1.00  779 kJ
Large Frozen Coke®, $4.80
Large Frozen Coke®, $5.40
