"Store Address",Suburb,Products,Price,Caloire Info
"Westfield, Benjamin Way",Belconnen,Big Mac,$7.10,2360kJ 
"Westfield, Benjamin Way",Belconnen,Medium Big Mac Meal,$11.95,2360kJ 
"Westfield, Benjamin Way",Belconnen,Small Big Mac Meal,$11.15,2360kJ 
"Westfield, Benjamin Way",Belconnen,Large Big Mac Meal,$12.75,2360kJ 
"Westfield, Benjamin Way",Belconnen, Latte,$4.20,473kJ 
"Westfield, Benjamin Way",Belconnen,Medium Latté ,$4.80,687kJ 
"Westfield, Benjamin Way",Belconnen,Large Latté ,$5.45,745kJ 
"Westfield, Benjamin Way",Belconnen, Iced Mocha,$3.80,1090kJ 
"Westfield, Benjamin Way",Belconnen,Medium Iced Mocha ,$5.50,1740kJ 
"Westfield, Benjamin Way",Belconnen,Large Iced Mocha ,$6.15,2390kJ 
"Westfield, Benjamin Way",Belconnen,OREO® McFlurry,$4.00,1380kJ 
"Westfield, Benjamin Way",Belconnen,Sprite® Zero Sugar,$3.35,8kJ 
"Westfield, Benjamin Way",Belconnen,Medium Sprite® Zero Sugar,$4.00,12kJ 
"Westfield, Benjamin Way",Belconnen,Large Sprite® Zero Sugar,$4.55,18kJ 
