"Store Address",Suburb,Products,Price,Caloire Info
"Cnr Sunnyholt Road & Third Avenue",Blacktown,Big Mac,$6.85,2360kJ 
"Cnr Sunnyholt Road & Third Avenue",Blacktown,Medium Big Mac Meal,$11.85,2360kJ 
"Cnr Sunnyholt Road & Third Avenue",Blacktown,Small Big Mac Meal,$11.05,2360kJ 
"Cnr Sunnyholt Road & Third Avenue",Blacktown,Large Big Mac Meal,$12.65,2360kJ 
"Cnr Sunnyholt Road & Third Avenue",Blacktown, Latte,$4.15,473kJ 
"Cnr Sunnyholt Road & Third Avenue",Blacktown,Medium Latté ,$4.70,687kJ 
"Cnr Sunnyholt Road & Third Avenue",Blacktown,Large Latté ,$5.10,745kJ 
"Cnr Sunnyholt Road & Third Avenue",Blacktown, Iced Mocha,$4.95,1090kJ 
"Cnr Sunnyholt Road & Third Avenue",Blacktown,Medium Iced Mocha ,$5.65,1740kJ 
"Cnr Sunnyholt Road & Third Avenue",Blacktown,Large Iced Mocha ,$6.10,2390kJ 
"Cnr Sunnyholt Road & Third Avenue",Blacktown,OREO® McFlurry,$4.00,1380kJ 
"Cnr Sunnyholt Road & Third Avenue",Blacktown,Sprite®,$3.35,378kJ 
