"Store Address",Suburb,Products,Price,Caloire Info
"114 Lambton Road",Broadmeadow,Big Mac,$6.75,2360kJ 
"114 Lambton Road",Broadmeadow,Medium Big Mac Meal,$11.30,2360kJ 
"114 Lambton Road",Broadmeadow,Small Big Mac Meal,$10.50,2360kJ 
"114 Lambton Road",Broadmeadow,Large Big Mac Meal,$12.10,2360kJ 
"114 Lambton Road",Broadmeadow, Latte,$4.15,473kJ 
"114 Lambton Road",Broadmeadow,Medium Latté ,$4.70,687kJ 
"114 Lambton Road",Broadmeadow,Large Latté ,$5.10,745kJ 
"114 Lambton Road",Broadmeadow, Iced Mocha,$4.70,1090kJ 
"114 Lambton Road",Broadmeadow,Medium Iced Mocha ,$5.25,1740kJ 
"114 Lambton Road",Broadmeadow,Large Iced Mocha ,$5.60,2390kJ 
"114 Lambton Road",Broadmeadow,OREO® McFlurry,$4.00,1380kJ 
"114 Lambton Road",Broadmeadow,Sprite®,$3.30,378kJ 
