"Store Address",Suburb,Products,Price,Caloire Info
"1171-1173 Pascoe Vale Road",Broadmeadows,Big Mac,$6.85,2360kJ 
"1171-1173 Pascoe Vale Road",Broadmeadows,Medium Big Mac Meal,$12.30,2360kJ 
"1171-1173 Pascoe Vale Road",Broadmeadows,Small Big Mac Meal,$11.50,2360kJ 
"1171-1173 Pascoe Vale Road",Broadmeadows,Large Big Mac Meal,$13.10,2360kJ 
"1171-1173 Pascoe Vale Road",Broadmeadows, Latte,$4.25,473kJ 
"1171-1173 Pascoe Vale Road",Broadmeadows,Medium Latté ,$4.75,687kJ 
"1171-1173 Pascoe Vale Road",Broadmeadows,Large Latté ,$5.25,745kJ 
"1171-1173 Pascoe Vale Road",Broadmeadows, Iced Mocha,$4.90,1090kJ 
"1171-1173 Pascoe Vale Road",Broadmeadows,Medium Iced Mocha ,$5.45,1740kJ 
"1171-1173 Pascoe Vale Road",Broadmeadows,Large Iced Mocha ,$6.10,2390kJ 
"1171-1173 Pascoe Vale Road",Broadmeadows,OREO® McFlurry,$4.00,undefinedkJ 
"1171-1173 Pascoe Vale Road",Broadmeadows,Sprite®,$3.60,378kJ 
"1171-1173 Pascoe Vale Road",Broadmeadows,Medium Sprite®,$4.15,541kJ 
"1171-1173 Pascoe Vale Road",Broadmeadows,Large Sprite®,$4.80,827kJ 
