"Store Address",Suburb,Products,Price,Caloire Info
"undefined",undefined, Latte,$4.00,473kJ 
"undefined",undefined,Medium Latté ,$4.50,687kJ 
"undefined",undefined,Large Latté ,$4.85,745kJ 
"undefined",undefined, Iced Mocha,$5.00,1090kJ 
"undefined",undefined,Medium Iced Mocha ,$5.55,1740kJ 
"undefined",undefined,Large Iced Mocha ,$6.00,2390kJ 
"undefined",undefined,OREO® McFlurry,$4.00,1380kJ 
"undefined",undefined,Sprite® Zero Sugar,$3.30,8kJ 
"undefined",undefined,Medium Sprite® Zero Sugar,$3.95,12kJ 
"undefined",undefined,Large Sprite® Zero Sugar,$4.50,18kJ 
