"Store Address",Suburb,Products,Price,Caloire Info
"213 Parramatta Road",Five Dock,Big Mac,$6.95,2360kJ 
"213 Parramatta Road",Five Dock,Medium Big Mac Meal,$11.80,2360kJ 
"213 Parramatta Road",Five Dock,Small Big Mac Meal,$11.00,2360kJ 
"213 Parramatta Road",Five Dock,Large Big Mac Meal,$12.60,2360kJ 
"213 Parramatta Road",Five Dock, Latte,$4.15,473kJ 
"213 Parramatta Road",Five Dock,Medium Latté ,$4.60,687kJ 
"213 Parramatta Road",Five Dock,Large Latté ,$5.10,745kJ 
"213 Parramatta Road",Five Dock, Iced Mocha,$5.00,1090kJ 
"213 Parramatta Road",Five Dock,Medium Iced Mocha ,$5.70,1740kJ 
"213 Parramatta Road",Five Dock,Large Iced Mocha ,$6.00,2390kJ 
"213 Parramatta Road",Five Dock,OREO® McFlurry,$4.00,1380kJ 
"213 Parramatta Road",Five Dock,Sprite®,$3.45,378kJ 
"213 Parramatta Road",Five Dock,Medium Sprite®,$3.95,541kJ 
"213 Parramatta Road",Five Dock,Large Sprite®,$4.50,827kJ 
