"Store Address",Suburb,Products,Price,Caloire Info
"1-3 Main Street (cnr Cowpasture Road)",Carnes Hill,Big Mac,$7.10,2360kJ 
"1-3 Main Street (cnr Cowpasture Road)",Carnes Hill,Medium Big Mac Meal,$11.95,2360kJ 
"1-3 Main Street (cnr Cowpasture Road)",Carnes Hill,Small Big Mac Meal,$11.15,2360kJ 
"1-3 Main Street (cnr Cowpasture Road)",Carnes Hill,Large Big Mac Meal,$12.75,2360kJ 
"1-3 Main Street (cnr Cowpasture Road)",Carnes Hill, Latte,$4.20,473kJ 
"1-3 Main Street (cnr Cowpasture Road)",Carnes Hill,Medium Latté ,$4.75,687kJ 
"1-3 Main Street (cnr Cowpasture Road)",Carnes Hill,Large Latté ,$5.10,745kJ 
"1-3 Main Street (cnr Cowpasture Road)",Carnes Hill, Iced Mocha,$4.70,1090kJ 
"1-3 Main Street (cnr Cowpasture Road)",Carnes Hill,Medium Iced Mocha ,$5.15,1740kJ 
"1-3 Main Street (cnr Cowpasture Road)",Carnes Hill,Large Iced Mocha ,$5.75,2390kJ 
"1-3 Main Street (cnr Cowpasture Road)",Carnes Hill,OREO® McFlurry,$4.00,1380kJ 
"1-3 Main Street (cnr Cowpasture Road)",Carnes Hill,Sprite®,$3.60,378kJ 
"1-3 Main Street (cnr Cowpasture Road)",Carnes Hill,Medium Sprite®,$4.10,541kJ 
"1-3 Main Street (cnr Cowpasture Road)",Carnes Hill,Large Sprite®,$4.55,827kJ 
