"Store Address",Suburb,Products,Price,Caloire Info
"453 Hume Highway",Casula,Big Mac,$7.00,2360kJ 
"453 Hume Highway",Casula,Medium Big Mac Meal,$12.15,2360kJ 
"453 Hume Highway",Casula,Small Big Mac Meal,$11.35,2360kJ 
"453 Hume Highway",Casula,Large Big Mac Meal,$12.95,2360kJ 
"453 Hume Highway",Casula, Latte,$4.15,473kJ 
"453 Hume Highway",Casula,Medium Latté ,$4.80,687kJ 
"453 Hume Highway",Casula,Large Latté ,$5.20,745kJ 
"453 Hume Highway",Casula, Iced Mocha,$4.65,1090kJ 
"453 Hume Highway",Casula,Medium Iced Mocha ,$5.20,1740kJ 
"453 Hume Highway",Casula,Large Iced Mocha ,$5.65,2390kJ 
"453 Hume Highway",Casula,OREO® McFlurry,$4.00,1380kJ 
"453 Hume Highway",Casula,Sprite®,$3.40,378kJ 
"453 Hume Highway",Casula,Medium Sprite®,$4.00,541kJ 
"453 Hume Highway",Casula,Large Sprite®,$4.50,827kJ 
