"Store Address",Suburb,Products,Price,Caloire Info
"Cnr New Line & Old Northern Roads",Dural,Big Mac,$7.20,2360kJ 
"Cnr New Line & Old Northern Roads",Dural,Medium Big Mac Meal,$12.15,2360kJ 
"Cnr New Line & Old Northern Roads",Dural,Small Big Mac Meal,$11.35,2360kJ 
"Cnr New Line & Old Northern Roads",Dural,Large Big Mac Meal,$12.95,2360kJ 
"Cnr New Line & Old Northern Roads",Dural, Latte,$4.30,473kJ 
"Cnr New Line & Old Northern Roads",Dural,Medium Latté ,$4.85,687kJ 
"Cnr New Line & Old Northern Roads",Dural,Large Latté ,$5.40,745kJ 
"Cnr New Line & Old Northern Roads",Dural, Iced Mocha,$5.00,1090kJ 
"Cnr New Line & Old Northern Roads",Dural,Medium Iced Mocha ,$5.75,1740kJ 
"Cnr New Line & Old Northern Roads",Dural,Large Iced Mocha ,$6.20,2390kJ 
"Cnr New Line & Old Northern Roads",Dural,OREO® McFlurry,$4.00,1380kJ 
"Cnr New Line & Old Northern Roads",Dural,Sprite®,$3.45,378kJ 
"Cnr New Line & Old Northern Roads",Dural,Medium Sprite®,$4.30,541kJ 
"Cnr New Line & Old Northern Roads",Dural,Large Sprite®,$4.90,827kJ 
