"Store Address",Suburb,Products,Price,Caloire Info
"1952-1982 Camden Valley Way",Edmondson Park,Big Mac,$6.70,2360kJ 
"1952-1982 Camden Valley Way",Edmondson Park,Medium Big Mac Meal,$12.00,2360kJ 
"1952-1982 Camden Valley Way",Edmondson Park,Small Big Mac Meal,$11.20,2360kJ 
"1952-1982 Camden Valley Way",Edmondson Park,Large Big Mac Meal,$12.80,2360kJ 
"1952-1982 Camden Valley Way",Edmondson Park, Latte,$4.15,473kJ 
"1952-1982 Camden Valley Way",Edmondson Park,Medium Latté ,$4.75,687kJ 
"1952-1982 Camden Valley Way",Edmondson Park,Large Latté ,$5.10,745kJ 
"1952-1982 Camden Valley Way",Edmondson Park, Iced Mocha,$5.00,1090kJ 
"1952-1982 Camden Valley Way",Edmondson Park,Medium Iced Mocha ,$5.45,1740kJ 
"1952-1982 Camden Valley Way",Edmondson Park,Large Iced Mocha ,$5.90,2390kJ 
"1952-1982 Camden Valley Way",Edmondson Park,Crème Brulée McFlurry,$4.00,2740kJ 
"1952-1982 Camden Valley Way",Edmondson Park,Sprite®,$3.45,378kJ 
"1952-1982 Camden Valley Way",Edmondson Park,Medium Sprite®,$3.90,541kJ 
"1952-1982 Camden Valley Way",Edmondson Park,Large Sprite®,$4.60,827kJ 
