"Store Address",Suburb,Products,Price,Caloire Info
"Cnr Princes Highway & Mianga Avenue",Engadine,Big Mac,$6.90,2360kJ 
"Cnr Princes Highway & Mianga Avenue",Engadine,Medium Big Mac Meal,$11.55,2360kJ 
"Cnr Princes Highway & Mianga Avenue",Engadine,Small Big Mac Meal,$10.75,2360kJ 
"Cnr Princes Highway & Mianga Avenue",Engadine,Large Big Mac Meal,$12.35,2360kJ 
"Cnr Princes Highway & Mianga Avenue",Engadine, Latte,$4.10,473kJ 
"Cnr Princes Highway & Mianga Avenue",Engadine,Medium Latté ,$4.75,687kJ 
"Cnr Princes Highway & Mianga Avenue",Engadine,Large Latté ,$5.25,745kJ 
"Cnr Princes Highway & Mianga Avenue",Engadine, Iced Mocha,$4.80,1090kJ 
"Cnr Princes Highway & Mianga Avenue",Engadine,Medium Iced Mocha ,$5.45,1740kJ 
"Cnr Princes Highway & Mianga Avenue",Engadine,Large Iced Mocha ,$6.00,2390kJ 
"Cnr Princes Highway & Mianga Avenue",Engadine,OREO® McFlurry,$4.00,1380kJ 
"Cnr Princes Highway & Mianga Avenue",Engadine,Sprite®,$3.60,378kJ 
"Cnr Princes Highway & Mianga Avenue",Engadine,Medium Sprite®,$4.10,541kJ 
"Cnr Princes Highway & Mianga Avenue",Engadine,Large Sprite®,$4.60,827kJ 
