"Store Address",Suburb,Products,Price,Caloire Info
"Store Address",Suburb,Products,Price,Caloire Info
"303-306 Magill Road",Trinity Gardens,Big Mac,$6.85,2360kJ 
"303-306 Magill Road",Trinity Gardens,Medium Big Mac Meal,$12.15,2360kJ 
"303-306 Magill Road",Trinity Gardens,Small Big Mac Meal,$11.35,2360kJ 
"303-306 Magill Road",Trinity Gardens,Large Big Mac Meal,$12.95,2360kJ 
"303-306 Magill Road",Trinity Gardens, Latte,$3.85,473kJ 
"303-306 Magill Road",Trinity Gardens,Medium Latté ,$4.60,687kJ 
"303-306 Magill Road",Trinity Gardens,Large Latté ,$4.95,745kJ 
"303-306 Magill Road",Trinity Gardens, Iced Mocha,$4.65,1090kJ 
"303-306 Magill Road",Trinity Gardens,Medium Iced Mocha ,$5.15,1740kJ 
"303-306 Magill Road",Trinity Gardens,Large Iced Mocha ,$5.75,2390kJ 
"303-306 Magill Road",Trinity Gardens,OREO® McFlurry,$4.00,undefinedkJ 
"303-306 Magill Road",Trinity Gardens,Sprite® Zero Sugar,$3.10,8kJ 
"303-306 Magill Road",Trinity Gardens,Medium Sprite® Zero Sugar,$3.70,12kJ 
"303-306 Magill Road",Trinity Gardens,Large Sprite® Zero Sugar,$4.50,18kJ 
