"Store Address",Suburb,Products,Price,Caloire Info
"22 Princes Highway",Figtree,Big Mac,$6.90,2360kJ 
"22 Princes Highway",Figtree,Medium Big Mac Meal,$12.15,2360kJ 
"22 Princes Highway",Figtree,Small Big Mac Meal,$11.35,2360kJ 
"22 Princes Highway",Figtree,Large Big Mac Meal,$12.95,2360kJ 
"22 Princes Highway",Figtree, Latte,$4.15,473kJ 
"22 Princes Highway",Figtree,Medium Latté ,$4.75,687kJ 
"22 Princes Highway",Figtree,Large Latté ,$5.20,745kJ 
"22 Princes Highway",Figtree, Iced Mocha,$4.70,1090kJ 
"22 Princes Highway",Figtree,Medium Iced Mocha ,$5.25,1740kJ 
"22 Princes Highway",Figtree,Large Iced Mocha ,$5.70,2390kJ 
"22 Princes Highway",Figtree,OREO® McFlurry,$4.00,1380kJ 
"22 Princes Highway",Figtree,Sprite®,$3.35,378kJ 
"22 Princes Highway",Figtree,Medium Sprite®,$3.95,541kJ 
"22 Princes Highway",Figtree,Large Sprite®,$4.70,827kJ 
