"Store Address",Suburb,Products,Price,Caloire Info
"Glendale Shopping Centre, 389 Lake Road",Glendale,Big Mac,$7.25,2360kJ 
"Glendale Shopping Centre, 389 Lake Road",Glendale,Medium Big Mac Meal,$12.00,2360kJ 
"Glendale Shopping Centre, 389 Lake Road",Glendale,Small Big Mac Meal,$11.20,2360kJ 
"Glendale Shopping Centre, 389 Lake Road",Glendale,Large Big Mac Meal,$12.80,2360kJ 
"Glendale Shopping Centre, 389 Lake Road",Glendale, Latte,$4.30,473kJ 
"Glendale Shopping Centre, 389 Lake Road",Glendale,Medium Latté ,$4.90,687kJ 
"Glendale Shopping Centre, 389 Lake Road",Glendale,Large Latté ,$5.35,745kJ 
"Glendale Shopping Centre, 389 Lake Road",Glendale, Iced Mocha,$5.10,1090kJ 
"Glendale Shopping Centre, 389 Lake Road",Glendale,Medium Iced Mocha ,$5.65,1740kJ 
"Glendale Shopping Centre, 389 Lake Road",Glendale,Large Iced Mocha ,$5.95,2390kJ 
"Glendale Shopping Centre, 389 Lake Road",Glendale,OREO® McFlurry,$4.00,1380kJ 
"Glendale Shopping Centre, 389 Lake Road",Glendale,Sprite® Zero Sugar,$3.60,8kJ 
"Glendale Shopping Centre, 389 Lake Road",Glendale,Medium Sprite® Zero Sugar,$4.20,12kJ 
"Glendale Shopping Centre, 389 Lake Road",Glendale,Large Sprite® Zero Sugar,$4.85,18kJ 
