"Store Address",Suburb,Products,Price,Caloire Info
"Exit Hume Hwy to 7 Sowerby St",Goulburn South,Big Mac,$6.85,2360kJ 
"Exit Hume Hwy to 7 Sowerby St",Goulburn South,Medium Big Mac Meal,$12.10,2360kJ 
"Exit Hume Hwy to 7 Sowerby St",Goulburn South,Small Big Mac Meal,$11.30,2360kJ 
"Exit Hume Hwy to 7 Sowerby St",Goulburn South,Large Big Mac Meal,$12.90,2360kJ 
"Exit Hume Hwy to 7 Sowerby St",Goulburn South, Latte,$4.30,473kJ 
"Exit Hume Hwy to 7 Sowerby St",Goulburn South,Medium Latté ,$4.80,687kJ 
"Exit Hume Hwy to 7 Sowerby St",Goulburn South,Large Latté ,$5.35,745kJ 
"Exit Hume Hwy to 7 Sowerby St",Goulburn South, Iced Mocha,$5.00,1090kJ 
"Exit Hume Hwy to 7 Sowerby St",Goulburn South,Medium Iced Mocha ,$5.65,1740kJ 
"Exit Hume Hwy to 7 Sowerby St",Goulburn South,Large Iced Mocha ,$6.15,2390kJ 
"Exit Hume Hwy to 7 Sowerby St",Goulburn South,OREO® McFlurry,$4.00,1380kJ 
"Exit Hume Hwy to 7 Sowerby St",Goulburn South,Sprite® Zero Sugar,$3.30,8kJ 
"Exit Hume Hwy to 7 Sowerby St",Goulburn South,Medium Sprite® Zero Sugar,$4.00,12kJ 
"Exit Hume Hwy to 7 Sowerby St",Goulburn South,Large Sprite® Zero Sugar,$4.85,18kJ 
