"Store Address",Suburb,Products,Price,Caloire Info
"Cnr Pacific Hwy & Spring St",Grafton,Big Mac,$6.90,2360kJ 
"Cnr Pacific Hwy & Spring St",Grafton,Medium Big Mac Meal,$12.10,2360kJ 
"Cnr Pacific Hwy & Spring St",Grafton,Small Big Mac Meal,$11.30,2360kJ 
"Cnr Pacific Hwy & Spring St",Grafton,Large Big Mac Meal,$12.90,2360kJ 
"Cnr Pacific Hwy & Spring St",Grafton, Latte,$4.15,473kJ 
"Cnr Pacific Hwy & Spring St",Grafton,Medium Latté ,$4.80,687kJ 
"Cnr Pacific Hwy & Spring St",Grafton,Large Latté ,$5.30,745kJ 
"Cnr Pacific Hwy & Spring St",Grafton, Iced Mocha,$5.00,1090kJ 
"Cnr Pacific Hwy & Spring St",Grafton,Medium Iced Mocha ,$5.65,1740kJ 
"Cnr Pacific Hwy & Spring St",Grafton,Large Iced Mocha ,$6.00,2390kJ 
"Cnr Pacific Hwy & Spring St",Grafton,OREO® McFlurry,$4.00,1380kJ 
"Cnr Pacific Hwy & Spring St",Grafton,Sprite® Zero Sugar,$3.40,8kJ 
"Cnr Pacific Hwy & Spring St",Grafton,Medium Sprite® Zero Sugar,$4.10,12kJ 
"Cnr Pacific Hwy & Spring St",Grafton,Large Sprite® Zero Sugar,$4.70,18kJ 
