"Store Address",Suburb,Products,Price,Caloire Info
"57-67 Roberts Road",Greenacre,Big Mac,$6.90,2360kJ 
"57-67 Roberts Road",Greenacre,Medium Big Mac Meal,$11.80,2360kJ 
"57-67 Roberts Road",Greenacre,Small Big Mac Meal,$11.00,2360kJ 
"57-67 Roberts Road",Greenacre,Large Big Mac Meal,$12.60,2360kJ 
"57-67 Roberts Road",Greenacre, Latte,$4.20,473kJ 
"57-67 Roberts Road",Greenacre,Medium Latté ,$4.75,687kJ 
"57-67 Roberts Road",Greenacre,Large Latté ,$5.20,745kJ 
"57-67 Roberts Road",Greenacre, Iced Mocha,$4.80,1090kJ 
"57-67 Roberts Road",Greenacre,Medium Iced Mocha ,$5.40,1740kJ 
"57-67 Roberts Road",Greenacre,Large Iced Mocha ,$5.85,2390kJ 
"57-67 Roberts Road",Greenacre,OREO® McFlurry,$4.00,1380kJ 
"57-67 Roberts Road",Greenacre,Sprite®,$3.30,378kJ 
"57-67 Roberts Road",Greenacre,Medium Sprite®,$3.90,541kJ 
"57-67 Roberts Road",Greenacre,Large Sprite®,$4.45,827kJ 
