"Store Address",Suburb,Products,Price,Caloire Info
"Cnr Banna & Crossing Streets",Griffith,Big Mac,$7.00,2360kJ 
"Cnr Banna & Crossing Streets",Griffith,Medium Big Mac Meal,$11.95,2360kJ 
"Cnr Banna & Crossing Streets",Griffith,Small Big Mac Meal,$11.15,2360kJ 
"Cnr Banna & Crossing Streets",Griffith,Large Big Mac Meal,$12.75,2360kJ 
"Cnr Banna & Crossing Streets",Griffith, Latte,$4.35,473kJ 
"Cnr Banna & Crossing Streets",Griffith,Medium Latté ,$4.85,687kJ 
"Cnr Banna & Crossing Streets",Griffith,Large Latté ,$5.50,745kJ 
"Cnr Banna & Crossing Streets",Griffith, Iced Mocha,$4.95,1090kJ 
"Cnr Banna & Crossing Streets",Griffith,Medium Iced Mocha ,$5.80,1740kJ 
"Cnr Banna & Crossing Streets",Griffith,Large Iced Mocha ,$6.20,2390kJ 
"Cnr Banna & Crossing Streets",Griffith,OREO® McFlurry,$4.00,1380kJ 
"Cnr Banna & Crossing Streets",Griffith,Sprite® Zero Sugar,$3.45,8kJ 
"Cnr Banna & Crossing Streets",Griffith,Medium Sprite® Zero Sugar,$4.00,12kJ 
"Cnr Banna & Crossing Streets",Griffith,Large Sprite® Zero Sugar,$4.70,18kJ 
