"Store Address",Suburb,Products,Price,Caloire Info
"Cnr Lloyd Street & Great Eastern Highway",Midland,Big Mac,$6.85,2360kJ 
"Cnr Lloyd Street & Great Eastern Highway",Midland,Medium Big Mac Meal,$11.50,2360kJ 
"Cnr Lloyd Street & Great Eastern Highway",Midland,Small Big Mac Meal,$10.70,2360kJ 
"Cnr Lloyd Street & Great Eastern Highway",Midland,Large Big Mac Meal,$12.30,2360kJ 
"Cnr Lloyd Street & Great Eastern Highway",Midland, Latte,$4.10,473kJ 
"Cnr Lloyd Street & Great Eastern Highway",Midland,Medium Latté ,$4.80,687kJ 
"Cnr Lloyd Street & Great Eastern Highway",Midland,Large Latté ,$5.25,745kJ 
"Cnr Lloyd Street & Great Eastern Highway",Midland, Iced Mocha,$4.40,1090kJ 
"Cnr Lloyd Street & Great Eastern Highway",Midland,Medium Iced Mocha ,$5.30,1740kJ 
"Cnr Lloyd Street & Great Eastern Highway",Midland,Large Iced Mocha ,$5.95,2390kJ 
"Cnr Lloyd Street & Great Eastern Highway",Midland,OREO® McFlurry,$4.00,1380kJ 
"Cnr Lloyd Street & Great Eastern Highway",Midland,Sprite® Zero Sugar,$3.20,8kJ 
"Cnr Lloyd Street & Great Eastern Highway",Midland,Medium Sprite® Zero Sugar,$3.85,12kJ 
"Cnr Lloyd Street & Great Eastern Highway",Midland,Large Sprite® Zero Sugar,$4.20,18kJ 
