"Store Address",Suburb,Products,Price,Caloire Info
"Cnr Ernest Cavanaugh & Gozzard Streets",Gungahlin,Big Mac,$7.10,2360kJ 
"Cnr Ernest Cavanaugh & Gozzard Streets",Gungahlin,Medium Big Mac Meal,$11.95,2360kJ 
"Cnr Ernest Cavanaugh & Gozzard Streets",Gungahlin,Small Big Mac Meal,$11.15,2360kJ 
"Cnr Ernest Cavanaugh & Gozzard Streets",Gungahlin,Large Big Mac Meal,$12.75,2360kJ 
"Cnr Ernest Cavanaugh & Gozzard Streets",Gungahlin, Latte,$4.10,473kJ 
"Cnr Ernest Cavanaugh & Gozzard Streets",Gungahlin,Medium Latté ,$4.85,687kJ 
"Cnr Ernest Cavanaugh & Gozzard Streets",Gungahlin,Large Latté ,$5.20,745kJ 
"Cnr Ernest Cavanaugh & Gozzard Streets",Gungahlin, Iced Mocha,$4.70,1090kJ 
"Cnr Ernest Cavanaugh & Gozzard Streets",Gungahlin,Medium Iced Mocha ,$5.20,1740kJ 
"Cnr Ernest Cavanaugh & Gozzard Streets",Gungahlin,Large Iced Mocha ,$5.70,2390kJ 
"Cnr Ernest Cavanaugh & Gozzard Streets",Gungahlin,OREO® McFlurry,$4.00,1380kJ 
"Cnr Ernest Cavanaugh & Gozzard Streets",Gungahlin,Sprite® Zero Sugar,$3.20,8kJ 
"Cnr Ernest Cavanaugh & Gozzard Streets",Gungahlin,Medium Sprite® Zero Sugar,$3.95,12kJ 
"Cnr Ernest Cavanaugh & Gozzard Streets",Gungahlin,Large Sprite® Zero Sugar,$4.65,18kJ 
