"Store Address",Suburb,Products,Price,Caloire Info
"141 Parramatta Road",Haberfield,Big Mac,$6.60,2360kJ 
"141 Parramatta Road",Haberfield,Medium Big Mac Meal,$11.90,2360kJ 
"141 Parramatta Road",Haberfield,Small Big Mac Meal,$11.10,2360kJ 
"141 Parramatta Road",Haberfield,Large Big Mac Meal,$12.70,2360kJ 
"141 Parramatta Road",Haberfield, Latte,$4.20,473kJ 
"141 Parramatta Road",Haberfield,Medium Latté ,$4.75,687kJ 
"141 Parramatta Road",Haberfield,Large Latté ,$5.25,745kJ 
"141 Parramatta Road",Haberfield, Iced Mocha,$5.00,1090kJ 
"141 Parramatta Road",Haberfield,Medium Iced Mocha ,$5.55,1740kJ 
"141 Parramatta Road",Haberfield,Large Iced Mocha ,$5.90,2390kJ 
"141 Parramatta Road",Haberfield,OREO® McFlurry,$4.00,1380kJ 
"141 Parramatta Road",Haberfield,Sprite®,$3.45,378kJ 
"141 Parramatta Road",Haberfield,Medium Sprite®,$4.15,541kJ 
"141 Parramatta Road",Haberfield,Large Sprite®,$4.55,827kJ 
