"Store Address",Suburb,Products,Price,Caloire Info
"501 Cowpasture Rd (Len Waters Estate)",Hoxton Park,Big Mac,$7.10,2360kJ 
"501 Cowpasture Rd (Len Waters Estate)",Hoxton Park,Medium Big Mac Meal,$11.95,2360kJ 
"501 Cowpasture Rd (Len Waters Estate)",Hoxton Park,Small Big Mac Meal,$11.15,2360kJ 
"501 Cowpasture Rd (Len Waters Estate)",Hoxton Park,Large Big Mac Meal,$12.75,2360kJ 
"501 Cowpasture Rd (Len Waters Estate)",Hoxton Park, Latte,$4.20,473kJ 
"501 Cowpasture Rd (Len Waters Estate)",Hoxton Park,Medium Latté ,$4.75,687kJ 
"501 Cowpasture Rd (Len Waters Estate)",Hoxton Park,Large Latté ,$5.10,745kJ 
"501 Cowpasture Rd (Len Waters Estate)",Hoxton Park, Iced Mocha,$4.70,1090kJ 
"501 Cowpasture Rd (Len Waters Estate)",Hoxton Park,Medium Iced Mocha ,$5.15,1740kJ 
"501 Cowpasture Rd (Len Waters Estate)",Hoxton Park,Large Iced Mocha ,$5.75,2390kJ 
"501 Cowpasture Rd (Len Waters Estate)",Hoxton Park,OREO® McFlurry,$4.00,1380kJ 
"501 Cowpasture Rd (Len Waters Estate)",Hoxton Park,Sprite®,$3.60,378kJ 
"501 Cowpasture Rd (Len Waters Estate)",Hoxton Park,Medium Sprite®,$4.10,541kJ 
"501 Cowpasture Rd (Len Waters Estate)",Hoxton Park,Large Sprite®,$4.55,827kJ 
