"Store Address",Suburb,Products,Price,Caloire Info
"Goobarabah Avenue",Lake Haven,Big Mac,$7.25,2360kJ 
"Goobarabah Avenue",Lake Haven,Medium Big Mac Meal,$12.00,2360kJ 
"Goobarabah Avenue",Lake Haven,Small Big Mac Meal,$11.20,2360kJ 
"Goobarabah Avenue",Lake Haven,Large Big Mac Meal,$12.80,2360kJ 
"Goobarabah Avenue",Lake Haven, Latte,$4.30,473kJ 
"Goobarabah Avenue",Lake Haven,Medium Latté ,$4.90,687kJ 
"Goobarabah Avenue",Lake Haven,Large Latté ,$5.35,745kJ 
"Goobarabah Avenue",Lake Haven, Iced Mocha,$5.10,1090kJ 
"Goobarabah Avenue",Lake Haven,Medium Iced Mocha ,$5.65,1740kJ 
"Goobarabah Avenue",Lake Haven,Large Iced Mocha ,$5.95,2390kJ 
"Goobarabah Avenue",Lake Haven,OREO® McFlurry,$4.00,1380kJ 
"Goobarabah Avenue",Lake Haven,Sprite® Zero Sugar,$3.60,8kJ 
"Goobarabah Avenue",Lake Haven,Medium Sprite® Zero Sugar,$4.20,12kJ 
"Goobarabah Avenue",Lake Haven,Large Sprite® Zero Sugar,$4.85,18kJ 
