"Store Address",Suburb,Products,Price,Caloire Info
"343 Milperra Road",Bankstown,Big Mac,$6.95,2360kJ 
"343 Milperra Road",Bankstown,Medium Big Mac Meal,$12.00,2360kJ 
"343 Milperra Road",Bankstown,Small Big Mac Meal,$11.20,2360kJ 
"343 Milperra Road",Bankstown,Large Big Mac Meal,$12.80,2360kJ 
"343 Milperra Road",Bankstown, Latte,$4.10,473kJ 
"343 Milperra Road",Bankstown,Medium Latté ,$4.70,687kJ 
"343 Milperra Road",Bankstown,Large Latté ,$5.10,745kJ 
"343 Milperra Road",Bankstown, Iced Mocha,$4.85,1090kJ 
"343 Milperra Road",Bankstown,Medium Iced Mocha ,$5.40,1740kJ 
"343 Milperra Road",Bankstown,Large Iced Mocha ,$6.10,2390kJ 
"343 Milperra Road",Bankstown,OREO® McFlurry,$4.00,1380kJ 
"343 Milperra Road",Bankstown,Sprite®,$3.20,378kJ 
"343 Milperra Road",Bankstown,Medium Sprite®,$3.95,541kJ 
"343 Milperra Road",Bankstown,Large Sprite®,$4.55,827kJ 
