"Store Address",Suburb,Products,Price,Caloire Info
"Cnr Bowral Rd & Bessemer St",Mittagong,Big Mac,$6.80,2360kJ 
"Cnr Bowral Rd & Bessemer St",Mittagong,Medium Big Mac Meal,$11.95,2360kJ 
"Cnr Bowral Rd & Bessemer St",Mittagong,Small Big Mac Meal,$11.15,2360kJ 
"Cnr Bowral Rd & Bessemer St",Mittagong,Large Big Mac Meal,$12.75,2360kJ 
"Cnr Bowral Rd & Bessemer St",Mittagong, Latte,$4.10,473kJ 
"Cnr Bowral Rd & Bessemer St",Mittagong,Medium Latté ,$4.70,687kJ 
"Cnr Bowral Rd & Bessemer St",Mittagong,Large Latté ,$5.10,745kJ 
"Cnr Bowral Rd & Bessemer St",Mittagong, Iced Mocha,$5.00,1090kJ 
"Cnr Bowral Rd & Bessemer St",Mittagong,Medium Iced Mocha ,$5.60,1740kJ 
"Cnr Bowral Rd & Bessemer St",Mittagong,Large Iced Mocha ,$5.90,2390kJ 
"Cnr Bowral Rd & Bessemer St",Mittagong,OREO® McFlurry,$4.00,1380kJ 
"Cnr Bowral Rd & Bessemer St",Mittagong,Sprite® Zero Sugar,$3.20,8kJ 
"Cnr Bowral Rd & Bessemer St",Mittagong,Medium Sprite® Zero Sugar,$3.75,12kJ 
"Cnr Bowral Rd & Bessemer St",Mittagong,Large Sprite® Zero Sugar,$4.60,18kJ 
