"Store Address",Suburb,Products,Price,Caloire Info
"83-89 Maitland Road",Muswellbrook,Big Mac,$7.10,2360kJ 
"83-89 Maitland Road",Muswellbrook,Medium Big Mac Meal,$12.15,2360kJ 
"83-89 Maitland Road",Muswellbrook,Small Big Mac Meal,$11.35,2360kJ 
"83-89 Maitland Road",Muswellbrook,Large Big Mac Meal,$12.95,2360kJ 
"83-89 Maitland Road",Muswellbrook, Latte,$4.30,473kJ 
"83-89 Maitland Road",Muswellbrook,Medium Latté ,$4.70,687kJ 
"83-89 Maitland Road",Muswellbrook,Large Latté ,$5.25,745kJ 
"83-89 Maitland Road",Muswellbrook, Iced Mocha,$4.75,1090kJ 
"83-89 Maitland Road",Muswellbrook,Medium Iced Mocha ,$5.45,1740kJ 
"83-89 Maitland Road",Muswellbrook,Large Iced Mocha ,$5.90,2390kJ 
"83-89 Maitland Road",Muswellbrook,OREO® McFlurry,$4.00,1380kJ 
"83-89 Maitland Road",Muswellbrook,Sprite®,$3.40,378kJ 
"83-89 Maitland Road",Muswellbrook,Medium Sprite®,$4.00,541kJ 
"83-89 Maitland Road",Muswellbrook,Large Sprite®,$4.75,827kJ 
