"Store Address",Suburb,Products,Price,Caloire Info
"Cnr Great Eastern Highway & Lyall Street",Ascot,Big Mac,$7.10,2360kJ 
"Cnr Great Eastern Highway & Lyall Street",Ascot,Medium Big Mac Meal,$12.10,2360kJ 
"Cnr Great Eastern Highway & Lyall Street",Ascot,Small Big Mac Meal,$11.30,2360kJ 
"Cnr Great Eastern Highway & Lyall Street",Ascot,Large Big Mac Meal,$12.90,2360kJ 
"Cnr Great Eastern Highway & Lyall Street",Ascot, Latte,$4.10,473kJ 
"Cnr Great Eastern Highway & Lyall Street",Ascot,Medium Latté ,$4.80,687kJ 
"Cnr Great Eastern Highway & Lyall Street",Ascot,Large Latté ,$5.25,745kJ 
"Cnr Great Eastern Highway & Lyall Street",Ascot, Iced Mocha,$4.70,1090kJ 
"Cnr Great Eastern Highway & Lyall Street",Ascot,Medium Iced Mocha ,$5.20,1740kJ 
"Cnr Great Eastern Highway & Lyall Street",Ascot,Large Iced Mocha ,$5.95,2390kJ 
"Cnr Great Eastern Highway & Lyall Street",Ascot,OREO® McFlurry,$4.00,1380kJ 
"Cnr Great Eastern Highway & Lyall Street",Ascot,Sprite®,$3.60,378kJ 
