"Store Address",Suburb,Products,Price,Caloire Info
"Cnr Canning Highway & Foss Street",Bicton,Big Mac,$6.85,2360kJ 
"Cnr Canning Highway & Foss Street",Bicton,Medium Big Mac Meal,$11.75,2360kJ 
"Cnr Canning Highway & Foss Street",Bicton,Small Big Mac Meal,$10.95,2360kJ 
"Cnr Canning Highway & Foss Street",Bicton,Large Big Mac Meal,$12.55,2360kJ 
"Cnr Canning Highway & Foss Street",Bicton, Latte,$4.15,473kJ 
"Cnr Canning Highway & Foss Street",Bicton,Medium Latté ,$4.95,687kJ 
"Cnr Canning Highway & Foss Street",Bicton,Large Latté ,$5.35,745kJ 
"Cnr Canning Highway & Foss Street",Bicton, Iced Mocha,$4.95,1090kJ 
"Cnr Canning Highway & Foss Street",Bicton,Medium Iced Mocha ,$5.35,1740kJ 
"Cnr Canning Highway & Foss Street",Bicton,Large Iced Mocha ,$6.00,2390kJ 
"Cnr Canning Highway & Foss Street",Bicton,OREO® McFlurry,$4.00,1380kJ 
"Cnr Canning Highway & Foss Street",Bicton,Sprite®,$3.70,378kJ 
"Cnr Canning Highway & Foss Street",Bicton,Medium Sprite®,$4.35,541kJ 
"Cnr Canning Highway & Foss Street",Bicton,Large Sprite®,$4.70,827kJ 
