"Store Address",Suburb,Products,Price,Caloire Info
"1-3 Best Street",Devonport,Big Mac,$6.75,2360kJ 
"1-3 Best Street",Devonport,Medium Big Mac Meal,$12.00,2360kJ 
"1-3 Best Street",Devonport,Small Big Mac Meal,$11.20,2360kJ 
"1-3 Best Street",Devonport,Large Big Mac Meal,$12.80,2360kJ 
"1-3 Best Street",Devonport, Latte,$4.20,473kJ 
"1-3 Best Street",Devonport,Medium Latté ,$4.90,687kJ 
"1-3 Best Street",Devonport,Large Latté ,$5.55,745kJ 
"1-3 Best Street",Devonport, Iced Mocha,$5.20,1090kJ 
"1-3 Best Street",Devonport,Medium Iced Mocha ,$5.85,1740kJ 
"1-3 Best Street",Devonport,Large Iced Mocha ,$6.45,2390kJ 
"1-3 Best Street",Devonport,OREO® McFlurry,$4.00,1380kJ 
"1-3 Best Street",Devonport,Sprite®,$3.40,378kJ 
"1-3 Best Street",Devonport,Medium Sprite®,$4.15,541kJ 
"1-3 Best Street",Devonport,Large Sprite®,$4.60,827kJ 
