"Store Address",Suburb,Products,Price,Caloire Info
"9-15 Vaughan Street",Lidcombe,Big Mac,$6.95,2360kJ 
"9-15 Vaughan Street",Lidcombe,Medium Big Mac Meal,$11.70,2360kJ 
"9-15 Vaughan Street",Lidcombe,Small Big Mac Meal,$10.90,2360kJ 
"9-15 Vaughan Street",Lidcombe,Large Big Mac Meal,$12.50,2360kJ 
"9-15 Vaughan Street",Lidcombe, Latte,$4.10,473kJ 
"9-15 Vaughan Street",Lidcombe,Medium Latté ,$4.60,687kJ 
"9-15 Vaughan Street",Lidcombe,Large Latté ,$5.10,745kJ 
"9-15 Vaughan Street",Lidcombe, Iced Mocha,$5.00,1090kJ 
"9-15 Vaughan Street",Lidcombe,OREO® McFlurry,$4.00,1380kJ 
"9-15 Vaughan Street",Lidcombe,Sprite®,$3.45,378kJ 
"9-15 Vaughan Street",Lidcombe,Medium Sprite®,$3.95,541kJ 
"9-15 Vaughan Street",Lidcombe,Large Sprite®,$4.50,827kJ 
