"Store Address",Suburb,Products,Price,Caloire Info
"872 Hume Highway",Bass Hill,Big Mac,$6.80,2360kJ 
"872 Hume Highway",Bass Hill,Medium Big Mac Meal,$11.90,2360kJ 
"872 Hume Highway",Bass Hill,Small Big Mac Meal,$11.10,2360kJ 
"872 Hume Highway",Bass Hill,Large Big Mac Meal,$12.70,2360kJ 
"872 Hume Highway",Bass Hill, Latte,$4.25,473kJ 
"872 Hume Highway",Bass Hill,Medium Latté ,$4.75,687kJ 
"872 Hume Highway",Bass Hill,Large Latté ,$5.25,745kJ 
"872 Hume Highway",Bass Hill, Iced Mocha,$5.00,1090kJ 
"872 Hume Highway",Bass Hill,OREO® McFlurry,$4.00,1380kJ 
"872 Hume Highway",Bass Hill,Sprite®,$3.30,378kJ 
"872 Hume Highway",Bass Hill,Medium Sprite®,$4.00,541kJ 
"872 Hume Highway",Bass Hill,Large Sprite®,$4.60,827kJ 
