"Store Address",Suburb,Products,Price,Caloire Info
"235 Great Eastern Hwy (cnr Daly St)",Ascot Waters,Big Mac,$6.95,2360kJ 
"235 Great Eastern Hwy (cnr Daly St)",Ascot Waters,Medium Big Mac Meal,$12.30,2360kJ 
"235 Great Eastern Hwy (cnr Daly St)",Ascot Waters,Small Big Mac Meal,$11.50,2360kJ 
"235 Great Eastern Hwy (cnr Daly St)",Ascot Waters,Large Big Mac Meal,$13.10,2360kJ 
"235 Great Eastern Hwy (cnr Daly St)",Ascot Waters, Latte,$4.10,473kJ 
"235 Great Eastern Hwy (cnr Daly St)",Ascot Waters,Medium Latté ,$4.80,687kJ 
"235 Great Eastern Hwy (cnr Daly St)",Ascot Waters,Large Latté ,$5.30,745kJ 
"235 Great Eastern Hwy (cnr Daly St)",Ascot Waters, Iced Mocha,$4.80,1090kJ 
"235 Great Eastern Hwy (cnr Daly St)",Ascot Waters,Medium Iced Mocha ,$5.25,1740kJ 
"235 Great Eastern Hwy (cnr Daly St)",Ascot Waters,Large Iced Mocha ,$5.80,2390kJ 
"235 Great Eastern Hwy (cnr Daly St)",Ascot Waters,OREO® McFlurry,$4.00,1380kJ 
"235 Great Eastern Hwy (cnr Daly St)",Ascot Waters,Sprite®,$3.65,378kJ 
"235 Great Eastern Hwy (cnr Daly St)",Ascot Waters,Medium Sprite®,$4.15,541kJ 
"235 Great Eastern Hwy (cnr Daly St)",Ascot Waters,Large Sprite®,$4.50,827kJ 
