"Store Address",Suburb,Products,Price,Caloire Info
"164 Campbell Parade",Bondi,Big Mac,$6.95,2360kJ 
"164 Campbell Parade",Bondi,Medium Big Mac Meal,$11.95,2360kJ 
"164 Campbell Parade",Bondi,Small Big Mac Meal,$11.15,2360kJ 
"164 Campbell Parade",Bondi,Large Big Mac Meal,$12.75,2360kJ 
"164 Campbell Parade",Bondi, Latte,$4.10,473kJ 
"164 Campbell Parade",Bondi,Medium Latté ,$4.60,687kJ 
"164 Campbell Parade",Bondi,Large Latté ,$5.10,745kJ 
"164 Campbell Parade",Bondi, Iced Mocha,$5.00,1090kJ 
"164 Campbell Parade",Bondi,Medium Iced Mocha ,$5.60,1740kJ 
"164 Campbell Parade",Bondi,Large Iced Mocha ,$5.95,2390kJ 
"164 Campbell Parade",Bondi,OREO® McFlurry,$4.00,1380kJ 
"164 Campbell Parade",Bondi,Sprite®,$3.35,378kJ 
"164 Campbell Parade",Bondi,Medium Sprite®,$4.00,541kJ 
"164 Campbell Parade",Bondi,Large Sprite®,$4.60,827kJ 
