"Store Address",Suburb,Products,Price,Caloire Info
"312 Queen Street",Campbelltown,Big Mac,$7.15,2360kJ 
"312 Queen Street",Campbelltown,Medium Big Mac Meal,$12.30,2360kJ 
"312 Queen Street",Campbelltown,Small Big Mac Meal,$11.50,2360kJ 
"312 Queen Street",Campbelltown,Large Big Mac Meal,$13.10,2360kJ 
"312 Queen Street",Campbelltown, Latte,$4.25,473kJ 
"312 Queen Street",Campbelltown,Medium Latté ,$4.75,687kJ 
"312 Queen Street",Campbelltown,Large Latté ,$5.20,745kJ 
"312 Queen Street",Campbelltown, Iced Mocha,$5.00,1090kJ 
"312 Queen Street",Campbelltown,Medium Iced Mocha ,$5.60,1740kJ 
"312 Queen Street",Campbelltown,Large Iced Mocha ,$6.00,2390kJ 
"312 Queen Street",Campbelltown,OREO® McFlurry,$4.00,1380kJ 
"312 Queen Street",Campbelltown,Sprite® Zero Sugar,$3.55,8kJ 
"312 Queen Street",Campbelltown,Medium Sprite® Zero Sugar,$3.90,12kJ 
"312 Queen Street",Campbelltown,Large Sprite® Zero Sugar,$4.55,18kJ 
