"Store Address",Suburb,Products,Price,Caloire Info
"CIRCULAR QUAY - Cnr Alfred & Loftus Sts",Circular Quay,Big Mac,$6.95,2360kJ 
"CIRCULAR QUAY - Cnr Alfred & Loftus Sts",Circular Quay,Medium Big Mac Meal,$11.95,2360kJ 
"CIRCULAR QUAY - Cnr Alfred & Loftus Sts",Circular Quay,Small Big Mac Meal,$11.15,2360kJ 
"CIRCULAR QUAY - Cnr Alfred & Loftus Sts",Circular Quay,Large Big Mac Meal,$12.75,2360kJ 
"CIRCULAR QUAY - Cnr Alfred & Loftus Sts",Circular Quay, Latte,$4.10,473kJ 
"CIRCULAR QUAY - Cnr Alfred & Loftus Sts",Circular Quay,Medium Latté ,$4.60,687kJ 
"CIRCULAR QUAY - Cnr Alfred & Loftus Sts",Circular Quay,Large Latté ,$5.10,745kJ 
"CIRCULAR QUAY - Cnr Alfred & Loftus Sts",Circular Quay, Iced Mocha,$5.00,1090kJ 
"CIRCULAR QUAY - Cnr Alfred & Loftus Sts",Circular Quay,Medium Iced Mocha ,$5.60,1740kJ 
"CIRCULAR QUAY - Cnr Alfred & Loftus Sts",Circular Quay,Large Iced Mocha ,$5.95,2390kJ 
"CIRCULAR QUAY - Cnr Alfred & Loftus Sts",Circular Quay,Crème Brulée McFlurry,$4.00,2740kJ 
"CIRCULAR QUAY - Cnr Alfred & Loftus Sts",Circular Quay,Sprite® Zero Sugar,$3.35,8kJ 
"CIRCULAR QUAY - Cnr Alfred & Loftus Sts",Circular Quay,Medium Sprite® Zero Sugar,$4.00,12kJ 
"CIRCULAR QUAY - Cnr Alfred & Loftus Sts",Circular Quay,Large Sprite® Zero Sugar,$4.60,18kJ 
