"Store Address",Suburb,Products,Price,Caloire Info
"15 Park Beach Road",Coffs Harbour,Big Mac,$6.85,2360kJ 
"15 Park Beach Road",Coffs Harbour,Medium Big Mac Meal,$11.95,2360kJ 
"15 Park Beach Road",Coffs Harbour,Small Big Mac Meal,$11.15,2360kJ 
"15 Park Beach Road",Coffs Harbour,Large Big Mac Meal,$12.75,2360kJ 
"15 Park Beach Road",Coffs Harbour, Latte,$4.25,473kJ 
"15 Park Beach Road",Coffs Harbour,Medium Latté ,$4.80,687kJ 
"15 Park Beach Road",Coffs Harbour,Large Latté ,$5.40,745kJ 
"15 Park Beach Road",Coffs Harbour, Iced Mocha,$5.25,1090kJ 
"15 Park Beach Road",Coffs Harbour,Medium Iced Mocha ,$6.00,1740kJ 
"15 Park Beach Road",Coffs Harbour,Large Iced Mocha ,$6.45,2390kJ 
"15 Park Beach Road",Coffs Harbour,OREO® McFlurry,$4.00,1380kJ 
"15 Park Beach Road",Coffs Harbour,Sprite® Zero Sugar,$3.35,8kJ 
"15 Park Beach Road",Coffs Harbour,Medium Sprite® Zero Sugar,$4.15,12kJ 
"15 Park Beach Road",Coffs Harbour,Large Sprite® Zero Sugar,$4.55,18kJ 
