"Store Address",Suburb,Products,Price,Caloire Info
"22-24 Cobra Street",Dubbo,Big Mac,$7.10,2360kJ 
"22-24 Cobra Street",Dubbo,Medium Big Mac Meal,$11.90,2360kJ 
"22-24 Cobra Street",Dubbo,Small Big Mac Meal,$11.10,2360kJ 
"22-24 Cobra Street",Dubbo,Large Big Mac Meal,$12.70,2360kJ 
"22-24 Cobra Street",Dubbo, Latte,$4.25,473kJ 
"22-24 Cobra Street",Dubbo,Medium Latté ,$4.80,687kJ 
"22-24 Cobra Street",Dubbo,Large Latté ,$5.30,745kJ 
"22-24 Cobra Street",Dubbo, Iced Mocha,$5.00,1090kJ 
"22-24 Cobra Street",Dubbo,OREO® McFlurry,$4.00,1380kJ 
"22-24 Cobra Street",Dubbo,Sprite®,$3.20,378kJ 
"22-24 Cobra Street",Dubbo,Medium Sprite®,$4.00,541kJ 
"22-24 Cobra Street",Dubbo,Large Sprite®,$4.50,827kJ 
