"Store Address",Suburb,Products,Price,Caloire Info
"1 Princes Highway",Fairy Meadow,Big Mac,$7.00,2360kJ 
"1 Princes Highway",Fairy Meadow,Medium Big Mac Meal,$11.80,2360kJ 
"1 Princes Highway",Fairy Meadow,Small Big Mac Meal,$11.00,2360kJ 
"1 Princes Highway",Fairy Meadow,Large Big Mac Meal,$12.60,2360kJ 
"1 Princes Highway",Fairy Meadow, Latte,$4.15,473kJ 
"1 Princes Highway",Fairy Meadow,Medium Latté ,$4.75,687kJ 
"1 Princes Highway",Fairy Meadow,Large Latté ,$5.10,745kJ 
"1 Princes Highway",Fairy Meadow, Iced Mocha,$4.70,1090kJ 
"1 Princes Highway",Fairy Meadow,Medium Iced Mocha ,$5.30,1740kJ 
"1 Princes Highway",Fairy Meadow,Large Iced Mocha ,$5.80,2390kJ 
"1 Princes Highway",Fairy Meadow,OREO® McFlurry,$4.00,1380kJ 
"1 Princes Highway",Fairy Meadow,Sprite® Zero Sugar,$3.15,8kJ 
"1 Princes Highway",Fairy Meadow,Medium Sprite® Zero Sugar,$3.90,12kJ 
"1 Princes Highway",Fairy Meadow,Large Sprite® Zero Sugar,$4.35,18kJ 
