"Store Address",Suburb,Products,Price,Caloire Info
"Store Address",Suburb,Products,Price,Caloire Info
"173 Newcastle Street",Fyshwick,Big Mac,$6.50,2360kJ 
"173 Newcastle Street",Fyshwick,Medium Big Mac Meal,$11.90,2360kJ 
"173 Newcastle Street",Fyshwick,Small Big Mac Meal,$11.10,2360kJ 
"173 Newcastle Street",Fyshwick,Large Big Mac Meal,$12.70,2360kJ 
"173 Newcastle Street",Fyshwick, Latte,$4.00,473kJ 
"173 Newcastle Street",Fyshwick,Medium Latté ,$4.65,687kJ 
"173 Newcastle Street",Fyshwick,Large Latté ,$5.15,745kJ 
"173 Newcastle Street",Fyshwick, Iced Mocha,$4.70,1090kJ 
"173 Newcastle Street",Fyshwick,Medium Iced Mocha ,$5.20,1740kJ 
"173 Newcastle Street",Fyshwick,Large Iced Mocha ,$5.80,2390kJ 
"173 Newcastle Street",Fyshwick,OREO® McFlurry,$4.00,1380kJ 
"173 Newcastle Street",Fyshwick,Sprite®,$3.30,378kJ 
