"Store Address",Suburb,Products,Price,Caloire Info
"Cnr Woodville & Merrylands Roads",Merrylands,Big Mac,$7.00,2360kJ 
"Cnr Woodville & Merrylands Roads",Merrylands,Medium Big Mac Meal,$12.50,2360kJ 
"Cnr Woodville & Merrylands Roads",Merrylands,Small Big Mac Meal,$11.70,2360kJ 
"Cnr Woodville & Merrylands Roads",Merrylands,Large Big Mac Meal,$13.30,2360kJ 
"Cnr Woodville & Merrylands Roads",Merrylands, Latte,$4.45,473kJ 
"Cnr Woodville & Merrylands Roads",Merrylands,Medium Latté ,$4.95,687kJ 
"Cnr Woodville & Merrylands Roads",Merrylands,Large Latté ,$5.50,745kJ 
"Cnr Woodville & Merrylands Roads",Merrylands, Iced Mocha,$4.90,1090kJ 
"Cnr Woodville & Merrylands Roads",Merrylands,Medium Iced Mocha ,$5.80,1740kJ 
"Cnr Woodville & Merrylands Roads",Merrylands,Large Iced Mocha ,$6.30,2390kJ 
"Cnr Woodville & Merrylands Roads",Merrylands,OREO® McFlurry,$4.00,1380kJ 
"Cnr Woodville & Merrylands Roads",Merrylands,Sprite®,$3.65,378kJ 
"Cnr Woodville & Merrylands Roads",Merrylands,Medium Sprite®,$4.20,541kJ 
"Cnr Woodville & Merrylands Roads",Merrylands,Large Sprite®,$4.75,827kJ 
