"Store Address",Suburb,Products,Price,Caloire Info
"undefined",undefined, Latte,$4.35,473kJ 
"undefined",undefined,Medium Latté ,$4.85,687kJ 
"undefined",undefined,Large Latté ,$5.50,745kJ 
"undefined",undefined, Iced Mocha,$4.95,1090kJ 
"undefined",undefined,Medium Iced Mocha ,$5.80,1740kJ 
"undefined",undefined,Large Iced Mocha ,$6.20,2390kJ 
"undefined",undefined,OREO® McFlurry,$4.00,1380kJ 
"undefined",undefined,Sprite® Zero Sugar,$3.45,8kJ 
"undefined",undefined,Medium Sprite® Zero Sugar,$4.00,12kJ 
"undefined",undefined,Large Sprite® Zero Sugar,$4.70,18kJ 
