"Store Address",Suburb,Products,Price,Caloire Info
"133 Samantha Riley Drive",Kellyville North ,Big Mac,$7.45,2360kJ 
"133 Samantha Riley Drive",Kellyville North ,Medium Big Mac Meal,$12.10,2360kJ 
"133 Samantha Riley Drive",Kellyville North ,Small Big Mac Meal,$11.30,2360kJ 
"133 Samantha Riley Drive",Kellyville North ,Large Big Mac Meal,$12.90,2360kJ 
"133 Samantha Riley Drive",Kellyville North , Latte,$4.35,473kJ 
"133 Samantha Riley Drive",Kellyville North ,Medium Latté ,$4.80,687kJ 
"133 Samantha Riley Drive",Kellyville North ,Large Latté ,$5.30,745kJ 
"133 Samantha Riley Drive",Kellyville North , Iced Mocha,$4.90,1090kJ 
"133 Samantha Riley Drive",Kellyville North ,Medium Iced Mocha ,$5.90,1740kJ 
"133 Samantha Riley Drive",Kellyville North ,Large Iced Mocha ,$6.25,2390kJ 
"133 Samantha Riley Drive",Kellyville North ,OREO® McFlurry,$4.00,1380kJ 
"133 Samantha Riley Drive",Kellyville North ,Sprite®,$3.60,378kJ 
