"Store Address",Suburb,Products,Price,Caloire Info
"Cnr High & Kendall Streets",Penrith,Big Mac,$7.20,2360kJ 
"Cnr High & Kendall Streets",Penrith,Medium Big Mac Meal,$12.35,2360kJ 
"Cnr High & Kendall Streets",Penrith,Small Big Mac Meal,$11.55,2360kJ 
"Cnr High & Kendall Streets",Penrith,Large Big Mac Meal,$13.15,2360kJ 
"Cnr High & Kendall Streets",Penrith, Latte,$4.15,473kJ 
"Cnr High & Kendall Streets",Penrith,Medium Latté ,$4.80,687kJ 
"Cnr High & Kendall Streets",Penrith,Large Latté ,$5.25,745kJ 
"Cnr High & Kendall Streets",Penrith, Iced Mocha,$4.65,1090kJ 
"Cnr High & Kendall Streets",Penrith,Medium Iced Mocha ,$5.25,1740kJ 
"Cnr High & Kendall Streets",Penrith,Large Iced Mocha ,$5.75,2390kJ 
"Cnr High & Kendall Streets",Penrith,OREO® McFlurry,$4.00,1380kJ 
"Cnr High & Kendall Streets",Penrith,Sprite®,$3.20,378kJ 
"Cnr High & Kendall Streets",Penrith,Medium Sprite®,$4.00,541kJ 
"Cnr High & Kendall Streets",Penrith,Large Sprite®,$4.65,827kJ 
