"Store Address",Suburb,Products,Price,Caloire Info
"64 Harold Street",Macquarie Fields,Big Mac,$7.10,2360kJ 
"64 Harold Street",Macquarie Fields,Medium Big Mac Meal,$12.45,2360kJ 
"64 Harold Street",Macquarie Fields,Small Big Mac Meal,$11.65,2360kJ 
"64 Harold Street",Macquarie Fields,Large Big Mac Meal,$13.25,2360kJ 
"64 Harold Street",Macquarie Fields, Latte,$4.15,473kJ 
"64 Harold Street",Macquarie Fields,Medium Latté ,$4.80,687kJ 
"64 Harold Street",Macquarie Fields,Large Latté ,$5.20,745kJ 
"64 Harold Street",Macquarie Fields, Iced Mocha,$4.70,1090kJ 
"64 Harold Street",Macquarie Fields,Medium Iced Mocha ,$5.25,1740kJ 
"64 Harold Street",Macquarie Fields,Large Iced Mocha ,$5.70,2390kJ 
"64 Harold Street",Macquarie Fields,OREO® McFlurry,$4.00,1380kJ 
"64 Harold Street",Macquarie Fields,Sprite®,$3.40,378kJ 
"64 Harold Street",Macquarie Fields,Medium Sprite®,$3.95,541kJ 
"64 Harold Street",Macquarie Fields,Large Sprite®,$4.45,827kJ 
