"Store Address",Suburb,Products,Price,Caloire Info
"181 Rooty Hill Rd South",Eastern Creek,Big Mac,$6.90,2360kJ 
"181 Rooty Hill Rd South",Eastern Creek,Medium Big Mac Meal,$12.10,2360kJ 
"181 Rooty Hill Rd South",Eastern Creek,Small Big Mac Meal,$11.30,2360kJ 
"181 Rooty Hill Rd South",Eastern Creek,Large Big Mac Meal,$12.90,2360kJ 
"181 Rooty Hill Rd South",Eastern Creek, Latte,$4.30,473kJ 
"181 Rooty Hill Rd South",Eastern Creek,Medium Latté ,$4.85,687kJ 
"181 Rooty Hill Rd South",Eastern Creek,Large Latté ,$5.40,745kJ 
"181 Rooty Hill Rd South",Eastern Creek, Iced Mocha,$4.95,1090kJ 
"181 Rooty Hill Rd South",Eastern Creek,Medium Iced Mocha ,$5.45,1740kJ 
"181 Rooty Hill Rd South",Eastern Creek,Large Iced Mocha ,$5.95,2390kJ 
"181 Rooty Hill Rd South",Eastern Creek,OREO® McFlurry,$4.00,1380kJ 
"181 Rooty Hill Rd South",Eastern Creek,Sprite® Zero Sugar,$3.30,8kJ 
"181 Rooty Hill Rd South",Eastern Creek,Medium Sprite® Zero Sugar,$4.15,12kJ 
"181 Rooty Hill Rd South",Eastern Creek,Large Sprite® Zero Sugar,$4.60,18kJ 
