"Store Address",Suburb,Products,Price,Caloire Info
"Minto Mall, 9 Pembroke Rd",Minto,Big Mac,$6.60,2360kJ 
"Minto Mall, 9 Pembroke Rd",Minto,Medium Big Mac Meal,$12.20,2360kJ 
"Minto Mall, 9 Pembroke Rd",Minto,Small Big Mac Meal,$11.40,2360kJ 
"Minto Mall, 9 Pembroke Rd",Minto,Large Big Mac Meal,$13.00,2360kJ 
"Minto Mall, 9 Pembroke Rd",Minto, Latte,$4.10,473kJ 
"Minto Mall, 9 Pembroke Rd",Minto,Medium Latté ,$4.75,687kJ 
"Minto Mall, 9 Pembroke Rd",Minto,Large Latté ,$5.10,745kJ 
"Minto Mall, 9 Pembroke Rd",Minto, Iced Mocha,$4.85,1090kJ 
"Minto Mall, 9 Pembroke Rd",Minto,Medium Iced Mocha ,$5.45,1740kJ 
"Minto Mall, 9 Pembroke Rd",Minto,Large Iced Mocha ,$5.80,2390kJ 
"Minto Mall, 9 Pembroke Rd",Minto,OREO® McFlurry,$4.00,1380kJ 
"Minto Mall, 9 Pembroke Rd",Minto,Sprite®,$3.60,378kJ 
"Minto Mall, 9 Pembroke Rd",Minto,Medium Sprite®,$4.10,541kJ 
"Minto Mall, 9 Pembroke Rd",Minto,Large Sprite®,$4.65,827kJ 
