"Store Address",Suburb,Products,Price,Caloire Info
"Waterworth Drive",Mt Annan,Big Mac,$6.85,2360kJ 
"Waterworth Drive",Mt Annan,Medium Big Mac Meal,$11.65,2360kJ 
"Waterworth Drive",Mt Annan,Small Big Mac Meal,$10.85,2360kJ 
"Waterworth Drive",Mt Annan,Large Big Mac Meal,$12.45,2360kJ 
"Waterworth Drive",Mt Annan, Latte,$4.15,473kJ 
"Waterworth Drive",Mt Annan,Medium Latté ,$4.70,687kJ 
"Waterworth Drive",Mt Annan,Large Latté ,$5.10,745kJ 
"Waterworth Drive",Mt Annan, Iced Mocha,$4.85,1090kJ 
"Waterworth Drive",Mt Annan,Medium Iced Mocha ,$5.50,1740kJ 
"Waterworth Drive",Mt Annan,Large Iced Mocha ,$5.85,2390kJ 
"Waterworth Drive",Mt Annan,OREO® McFlurry,$4.00,1380kJ 
"Waterworth Drive",Mt Annan,Sprite®,$3.45,378kJ 
