"Store Address",Suburb,Products,Price,Caloire Info
"Camden Valley Way (Cnr Narellan Rd)",Narellan,Big Mac,$6.45,2360kJ 
"Camden Valley Way (Cnr Narellan Rd)",Narellan,Medium Big Mac Meal,$11.75,2360kJ 
"Camden Valley Way (Cnr Narellan Rd)",Narellan,Small Big Mac Meal,$10.95,2360kJ 
"Camden Valley Way (Cnr Narellan Rd)",Narellan,Large Big Mac Meal,$12.55,2360kJ 
"Camden Valley Way (Cnr Narellan Rd)",Narellan, Latte,$4.10,473kJ 
"Camden Valley Way (Cnr Narellan Rd)",Narellan,Medium Latté ,$4.70,687kJ 
"Camden Valley Way (Cnr Narellan Rd)",Narellan,Large Latté ,$5.10,745kJ 
"Camden Valley Way (Cnr Narellan Rd)",Narellan, Iced Mocha,$4.90,1090kJ 
"Camden Valley Way (Cnr Narellan Rd)",Narellan,Medium Iced Mocha ,$5.50,1740kJ 
"Camden Valley Way (Cnr Narellan Rd)",Narellan,Large Iced Mocha ,$5.85,2390kJ 
"Camden Valley Way (Cnr Narellan Rd)",Narellan,OREO® McFlurry,$4.00,1380kJ 
"Camden Valley Way (Cnr Narellan Rd)",Narellan,Sprite®,$3.60,378kJ 
"Camden Valley Way (Cnr Narellan Rd)",Narellan,Medium Sprite®,$4.10,541kJ 
"Camden Valley Way (Cnr Narellan Rd)",Narellan,Large Sprite®,$4.55,827kJ 
