"Store Address",Suburb,Products,Price,Caloire Info
"100-110 Bathurst Road",Orange,Big Mac,$6.80,2360kJ 
"100-110 Bathurst Road",Orange,Medium Big Mac Meal,$11.80,2360kJ 
"100-110 Bathurst Road",Orange,Small Big Mac Meal,$11.00,2360kJ 
"100-110 Bathurst Road",Orange,Large Big Mac Meal,$12.60,2360kJ 
"100-110 Bathurst Road",Orange, Latte,$4.15,473kJ 
"100-110 Bathurst Road",Orange,Medium Latté ,$4.75,687kJ 
"100-110 Bathurst Road",Orange,Large Latté ,$5.25,745kJ 
"100-110 Bathurst Road",Orange, Iced Mocha,$4.95,1090kJ 
"100-110 Bathurst Road",Orange,Medium Iced Mocha ,$5.85,1740kJ 
"100-110 Bathurst Road",Orange,Large Iced Mocha ,$6.15,2390kJ 
"100-110 Bathurst Road",Orange,OREO® McFlurry,$4.00,1380kJ 
"100-110 Bathurst Road",Orange,Sprite® Zero Sugar,$3.40,8kJ 
"100-110 Bathurst Road",Orange,Medium Sprite® Zero Sugar,$3.95,12kJ 
"100-110 Bathurst Road",Orange,Large Sprite® Zero Sugar,$4.50,18kJ 
