"Store Address",Suburb,Products,Price,Caloire Info
"Cnr Church St & Victoria Rd",Parramatta North,Big Mac,$6.75,2360kJ 
"Cnr Church St & Victoria Rd",Parramatta North,Medium Big Mac Meal,$11.85,2360kJ 
"Cnr Church St & Victoria Rd",Parramatta North,Small Big Mac Meal,$11.05,2360kJ 
"Cnr Church St & Victoria Rd",Parramatta North,Large Big Mac Meal,$12.65,2360kJ 
"Cnr Church St & Victoria Rd",Parramatta North, Latte,$3.85,473kJ 
"Cnr Church St & Victoria Rd",Parramatta North,Medium Latté ,$4.40,687kJ 
"Cnr Church St & Victoria Rd",Parramatta North,Large Latté ,$4.85,745kJ 
"Cnr Church St & Victoria Rd",Parramatta North, Iced Mocha,$4.65,1090kJ 
"Cnr Church St & Victoria Rd",Parramatta North,Medium Iced Mocha ,$5.30,1740kJ 
"Cnr Church St & Victoria Rd",Parramatta North,Large Iced Mocha ,$5.75,2390kJ 
"Cnr Church St & Victoria Rd",Parramatta North,OREO® McFlurry,$4.00,1380kJ 
"Cnr Church St & Victoria Rd",Parramatta North,Sprite® Zero Sugar,$3.40,8kJ 
"Cnr Church St & Victoria Rd",Parramatta North,Small Sprite® Zero Sugar,$3.40,8kJ 
"Cnr Church St & Victoria Rd",Parramatta North,Large Sprite® Zero Sugar,$4.60,18kJ 
