"Store Address",Suburb,Products,Price,Caloire Info
"Cnr Jersey & Hyatts Roads",Plumpton,Big Mac,$7.25,2360kJ 
"Cnr Jersey & Hyatts Roads",Plumpton,Medium Big Mac Meal,$12.50,2360kJ 
"Cnr Jersey & Hyatts Roads",Plumpton,Small Big Mac Meal,$11.70,2360kJ 
"Cnr Jersey & Hyatts Roads",Plumpton,Large Big Mac Meal,$13.30,2360kJ 
"Cnr Jersey & Hyatts Roads",Plumpton, Latte,$4.30,473kJ 
"Cnr Jersey & Hyatts Roads",Plumpton,Medium Latté ,$4.90,687kJ 
"Cnr Jersey & Hyatts Roads",Plumpton,Large Latté ,$5.50,745kJ 
"Cnr Jersey & Hyatts Roads",Plumpton, Iced Mocha,$5.10,1090kJ 
"Cnr Jersey & Hyatts Roads",Plumpton,Medium Iced Mocha ,$5.80,1740kJ 
"Cnr Jersey & Hyatts Roads",Plumpton,Large Iced Mocha ,$6.35,2390kJ 
"Cnr Jersey & Hyatts Roads",Plumpton,OREO® McFlurry,$4.00,1380kJ 
"Cnr Jersey & Hyatts Roads",Plumpton,Sprite®,$3.45,378kJ 
"Cnr Jersey & Hyatts Roads",Plumpton,Medium Sprite®,$4.15,541kJ 
"Cnr Jersey & Hyatts Roads",Plumpton,Large Sprite®,$4.90,827kJ 
