"Store Address",Suburb,Products,Price,Caloire Info
"Store Address",Suburb,Products,Price,Caloire Info
"22-24 Waniassa Street",Queanbeyan,Big Mac,$6.85,2360kJ 
"22-24 Waniassa Street",Queanbeyan,Medium Big Mac Meal,$11.70,2360kJ 
"22-24 Waniassa Street",Queanbeyan,Small Big Mac Meal,$10.90,2360kJ 
"22-24 Waniassa Street",Queanbeyan,Large Big Mac Meal,$12.50,2360kJ 
"22-24 Waniassa Street",Queanbeyan, Latte,$4.20,473kJ 
"22-24 Waniassa Street",Queanbeyan,Medium Latté ,$4.75,687kJ 
"22-24 Waniassa Street",Queanbeyan,Large Latté ,$5.35,745kJ 
"22-24 Waniassa Street",Queanbeyan, Iced Mocha,$4.90,1090kJ 
"22-24 Waniassa Street",Queanbeyan,Medium Iced Mocha ,$5.50,1740kJ 
"22-24 Waniassa Street",Queanbeyan,Large Iced Mocha ,$5.95,2390kJ 
"22-24 Waniassa Street",Queanbeyan,OREO® McFlurry,$4.00,1380kJ 
"22-24 Waniassa Street",Queanbeyan,Sprite® Zero Sugar,$3.45,8kJ 
"22-24 Waniassa Street",Queanbeyan,Medium Sprite® Zero Sugar,$4.10,12kJ 
"22-24 Waniassa Street",Queanbeyan,Large Sprite® Zero Sugar,$4.95,18kJ 
