"Store Address",Suburb,Products,Price,Caloire Info
"Cnr Thornton Rd & New England Hwy",Thornton,Big Mac,$6.65,2360kJ 
"Cnr Thornton Rd & New England Hwy",Thornton,Medium Big Mac Meal,$11.85,2360kJ 
"Cnr Thornton Rd & New England Hwy",Thornton,Small Big Mac Meal,$11.05,2360kJ 
"Cnr Thornton Rd & New England Hwy",Thornton,Large Big Mac Meal,$12.65,2360kJ 
"Cnr Thornton Rd & New England Hwy",Thornton, Latte,$4.10,473kJ 
"Cnr Thornton Rd & New England Hwy",Thornton,Medium Latté ,$4.65,687kJ 
"Cnr Thornton Rd & New England Hwy",Thornton,Large Latté ,$5.15,745kJ 
"Cnr Thornton Rd & New England Hwy",Thornton, Iced Mocha,$4.90,1090kJ 
"Cnr Thornton Rd & New England Hwy",Thornton,Medium Iced Mocha ,$5.40,1740kJ 
"Cnr Thornton Rd & New England Hwy",Thornton,Large Iced Mocha ,$5.70,2390kJ 
"Cnr Thornton Rd & New England Hwy",Thornton,OREO® McFlurry,$4.00,1380kJ 
"Cnr Thornton Rd & New England Hwy",Thornton,Sprite®,$3.40,378kJ 
"Cnr Thornton Rd & New England Hwy",Thornton,Medium Sprite®,$3.90,541kJ 
"Cnr Thornton Rd & New England Hwy",Thornton,Large Sprite®,$4.55,827kJ 
