"Store Address",Suburb,Products,Price,Caloire Info
"Cnr Wyong Rd & Mingara Dr",Tumbi Umbi,Big Mac,$6.90,2360kJ 
"Cnr Wyong Rd & Mingara Dr",Tumbi Umbi,Medium Big Mac Meal,$11.80,2360kJ 
"Cnr Wyong Rd & Mingara Dr",Tumbi Umbi,Small Big Mac Meal,$11.00,2360kJ 
"Cnr Wyong Rd & Mingara Dr",Tumbi Umbi,Large Big Mac Meal,$12.60,2360kJ 
"Cnr Wyong Rd & Mingara Dr",Tumbi Umbi, Latte,$4.25,473kJ 
"Cnr Wyong Rd & Mingara Dr",Tumbi Umbi,Medium Latté ,$4.85,687kJ 
"Cnr Wyong Rd & Mingara Dr",Tumbi Umbi,Large Latté ,$5.40,745kJ 
"Cnr Wyong Rd & Mingara Dr",Tumbi Umbi, Iced Mocha,$4.95,1090kJ 
"Cnr Wyong Rd & Mingara Dr",Tumbi Umbi,Medium Iced Mocha ,$5.55,1740kJ 
"Cnr Wyong Rd & Mingara Dr",Tumbi Umbi,Large Iced Mocha ,$6.20,2390kJ 
"Cnr Wyong Rd & Mingara Dr",Tumbi Umbi,OREO® McFlurry,$4.00,1380kJ 
"Cnr Wyong Rd & Mingara Dr",Tumbi Umbi,Sprite®,$3.60,378kJ 
