"Store Address",Suburb,Products,Price,Caloire Info
"Green Square - 305a Botany Road",Zetland,Big Mac,$7.00,2360kJ 
"Green Square - 305a Botany Road",Zetland,Medium Big Mac Meal,$11.85,2360kJ 
"Green Square - 305a Botany Road",Zetland,Small Big Mac Meal,$11.05,2360kJ 
"Green Square - 305a Botany Road",Zetland,Large Big Mac Meal,$12.65,2360kJ 
"Green Square - 305a Botany Road",Zetland, Latte,$4.15,473kJ 
"Green Square - 305a Botany Road",Zetland,Medium Latté ,$4.60,687kJ 
"Green Square - 305a Botany Road",Zetland,Large Latté ,$5.20,745kJ 
"Green Square - 305a Botany Road",Zetland, Iced Mocha,$4.75,1090kJ 
"Green Square - 305a Botany Road",Zetland,Medium Iced Mocha ,$5.15,1740kJ 
"Green Square - 305a Botany Road",Zetland,Large Iced Mocha ,$5.65,2390kJ 
"Green Square - 305a Botany Road",Zetland,OREO® McFlurry,$4.00,1380kJ 
"Green Square - 305a Botany Road",Zetland,Sprite® Zero Sugar,$3.25,8kJ 
"Green Square - 305a Botany Road",Zetland,Medium Sprite® Zero Sugar,$3.95,12kJ 
"Green Square - 305a Botany Road",Zetland,Large Sprite® Zero Sugar,$4.40,18kJ 
