"Store Address",Suburb,Products,Price,Caloire Info
"65 Pacific Highway",West Gosford,Big Mac,$6.65,2360kJ 
"65 Pacific Highway",West Gosford,Medium Big Mac Meal,$11.80,2360kJ 
"65 Pacific Highway",West Gosford,Small Big Mac Meal,$11.00,2360kJ 
"65 Pacific Highway",West Gosford,Large Big Mac Meal,$12.60,2360kJ 
"65 Pacific Highway",West Gosford, Latte,$4.25,473kJ 
"65 Pacific Highway",West Gosford,Medium Latté ,$4.90,687kJ 
"65 Pacific Highway",West Gosford,Large Latté ,$5.30,745kJ 
"65 Pacific Highway",West Gosford, Iced Mocha,$5.00,1090kJ 
"65 Pacific Highway",West Gosford,Medium Iced Mocha ,$5.50,1740kJ 
"65 Pacific Highway",West Gosford,Large Iced Mocha ,$5.90,2390kJ 
"65 Pacific Highway",West Gosford,OREO® McFlurry,$4.00,1380kJ 
"65 Pacific Highway",West Gosford,Sprite®,$3.65,378kJ 
"65 Pacific Highway",West Gosford,Medium Sprite®,$4.20,541kJ 
"65 Pacific Highway",West Gosford,Large Sprite®,$4.60,827kJ 
