"Store Address",Suburb,Products,Price,Caloire Info
"Woden Westfield, Keltie St",Woden,Big Mac,$6.65,2360kJ 
"Woden Westfield, Keltie St",Woden,Medium Big Mac Meal,$11.90,2360kJ 
"Woden Westfield, Keltie St",Woden,Small Big Mac Meal,$11.10,2360kJ 
"Woden Westfield, Keltie St",Woden,Large Big Mac Meal,$12.70,2360kJ 
"Woden Westfield, Keltie St",Woden, Latte,$4.20,473kJ 
"Woden Westfield, Keltie St",Woden,Medium Latté ,$4.80,687kJ 
"Woden Westfield, Keltie St",Woden,Large Latté ,$5.20,745kJ 
"Woden Westfield, Keltie St",Woden, Iced Mocha,$4.70,1090kJ 
"Woden Westfield, Keltie St",Woden,Medium Iced Mocha ,$5.35,1740kJ 
"Woden Westfield, Keltie St",Woden,Large Iced Mocha ,$5.70,2390kJ 
"Woden Westfield, Keltie St",Woden,OREO® McFlurry,$4.00,1380kJ 
"Woden Westfield, Keltie St",Woden,Sprite® Zero Sugar,$3.55,8kJ 
"Woden Westfield, Keltie St",Woden,Medium Sprite® Zero Sugar,$4.00,12kJ 
"Woden Westfield, Keltie St",Woden,Large Sprite® Zero Sugar,$4.45,18kJ 
