"Store Address",Suburb,Products,Price,Caloire Info
"2 River Road",Revesby,Big Mac,$6.70,2360kJ 
"2 River Road",Revesby,Medium Big Mac Meal,$11.45,2360kJ 
"2 River Road",Revesby,Small Big Mac Meal,$10.65,2360kJ 
"2 River Road",Revesby,Large Big Mac Meal,$12.25,2360kJ 
"2 River Road",Revesby, Latte,$4.20,473kJ 
"2 River Road",Revesby,Medium Latté ,$4.65,687kJ 
"2 River Road",Revesby,Large Latté ,$5.20,745kJ 
"2 River Road",Revesby, Iced Mocha,$4.85,1090kJ 
"2 River Road",Revesby,Medium Iced Mocha ,$5.45,1740kJ 
"2 River Road",Revesby,Large Iced Mocha ,$5.95,2390kJ 
"2 River Road",Revesby,OREO® McFlurry,$4.00,1380kJ 
"2 River Road",Revesby,Sprite®,$3.35,378kJ 
"2 River Road",Revesby,Medium Sprite®,$3.95,541kJ 
"2 River Road",Revesby,Large Sprite®,$4.50,827kJ 
"Store Address",Suburb,Products,Price,Caloire Info
"2 River Road",Revesby,Big Mac,$6.70,2360kJ 
"2 River Road",Revesby,Medium Big Mac Meal,$11.45,2360kJ 
"2 River Road",Revesby,Small Big Mac Meal,$10.65,2360kJ 
"2 River Road",Revesby,Large Big Mac Meal,$12.25,2360kJ 
"2 River Road",Revesby, Latte,$4.20,473kJ 
"2 River Road",Revesby,Medium Latté ,$4.65,687kJ 
"2 River Road",Revesby,Large Latté ,$5.20,745kJ 
"2 River Road",Revesby, Iced Mocha,$4.85,1090kJ 
"2 River Road",Revesby,Medium Iced Mocha ,$5.45,1740kJ 
"2 River Road",Revesby,Large Iced Mocha ,$5.95,2390kJ 
"2 River Road",Revesby,OREO® McFlurry,$4.00,1380kJ 
"2 River Road",Revesby,Sprite®,$3.35,378kJ 
"2 River Road",Revesby,Medium Sprite®,$3.95,541kJ 
"2 River Road",Revesby,Large Sprite®,$4.50,827kJ 
