"Store Address",Suburb,Products,Price,Caloire Info
"Cnr New England Hwy & Denton Park Dv",Rutherford,Big Mac,$7.15,2360kJ 
"Cnr New England Hwy & Denton Park Dv",Rutherford,Medium Big Mac Meal,$12.15,2360kJ 
"Cnr New England Hwy & Denton Park Dv",Rutherford,Small Big Mac Meal,$11.35,2360kJ 
"Cnr New England Hwy & Denton Park Dv",Rutherford,Large Big Mac Meal,$12.95,2360kJ 
"Cnr New England Hwy & Denton Park Dv",Rutherford, Latte,$4.15,473kJ 
"Cnr New England Hwy & Denton Park Dv",Rutherford,Medium Latté ,$4.75,687kJ 
"Cnr New England Hwy & Denton Park Dv",Rutherford,Large Latté ,$5.20,745kJ 
"Cnr New England Hwy & Denton Park Dv",Rutherford, Iced Mocha,$4.70,1090kJ 
"Cnr New England Hwy & Denton Park Dv",Rutherford,Medium Iced Mocha ,$5.30,1740kJ 
"Cnr New England Hwy & Denton Park Dv",Rutherford,Large Iced Mocha ,$5.75,2390kJ 
"Cnr New England Hwy & Denton Park Dv",Rutherford,Crème Brulée McFlurry,$4.00,2740kJ 
"Cnr New England Hwy & Denton Park Dv",Rutherford,Sprite®,$3.35,378kJ 
"Cnr New England Hwy & Denton Park Dv",Rutherford,Medium Sprite®,$4.10,541kJ 
"Cnr New England Hwy & Denton Park Dv",Rutherford,Large Sprite®,$4.75,827kJ 
